,name,location,mobile_no,email,find_us,qualification,branch,career_issue,looking_for,technology,mode,time_slot,date,attended_by,no_persons,fee_details,year_of_pass_out,status,remarks,year,month
0,hidden,ramanattukara,hidden,hidden,google,ug,commerce,no_career_issue,others,data science,online,morning,2020-12-11,deepak,3,35000,2018,not joined,not impressed,2020,12
1,hidden,kozhikode,hidden,hidden,google,ug,electronics,no_career_issue,work experience,mern,offline,morning,2020-07-12,lekha,2,60000,2016,not joined,not interested,2020,7
2,hidden,nadakkavu,hidden,hidden,social media,pg,electronics,no_career_issue,others,java,offline,morning,2020-07-26,baiju,3,60000,2020,not joined,joined other institude,2020,7
3,hidden,ramanattukara,hidden,hidden,social media,ug,other,non it background,short term course,python,offline,morning,2020-01-18,baiju,3,35000,2018,not joined,not interested,2020,1
4,hidden,westhill,hidden,hidden,social media,ug,computer science,no_career_issue,work experience,python,online,evening,2020-03-15,rifna,5,60000,2018,not joined,not okay,2020,3
5,hidden,kozhikode,hidden,hidden,social media,ug,commerce,career gap,work experience,data science,offline,morning,2020-06-01,lekha,2,35000,2020,not joined,not okay,2020,6
6,hidden,kozhikode,hidden,hidden,social media,ug,computer science,no_career_issue,short term course,ai,offline,morning,2020-09-26,sandra,1,60000,2017,joined,not impressed,2020,9
7,hidden,trivandrum,hidden,hidden,google,pg,electronics,no_career_issue,short term course,flutter,offline,evening,2020-11-10,faisal,1,12500,2015,not joined,suspected,2020,11
8,hidden,nadakkavu,hidden,hidden,social media,ug,other,no_career_issue,work experience,python,offline,morning,2020-10-09,baiju,2,60000,2020,not joined,call not picking,2020,10
9,hidden,chaliyam,hidden,hidden,social media,ug,computer science,no_career_issue,job oriented course,mern,offline,morning,2020-04-07,faisal,1,12500,2018,not joined,joined other institude,2020,4
10,hidden,kozhikode,hidden,hidden,social media,ug,other,no_career_issue,short term course,testing,offline,evening,2020-04-04,lekha,1,60000,2019,not joined,suspected,2020,4
11,hidden,kovoor,hidden,hidden,others,ug,electronics,backpapers,job oriented course,java,online,evening,2020-08-19,baiju,2,60000,2018,not joined,joined other institude,2020,8
12,hidden,nadakkavu,hidden,hidden,social media,ug,civil,backpapers,it internship,python,online,evening,2020-06-17,lekha,1,60000,2018,not joined,suspected,2020,6
13,hidden,manjeri,hidden,hidden,social media,ug,commerce,no_career_issue,job oriented course,python,offline,afternoon,2020-10-08,rifna,1,60000,2015,not joined,high fee,2020,10
14,hidden,palakkad,hidden,hidden,reference,ug,electronics,career gap,others,mern,hybrid,morning,2020-09-08,baiju,2,60000,2015,not joined,not impressed,2020,9
15,hidden,kozhikode,hidden,hidden,google,ug,electronics,no_career_issue,others,flutter,online,morning,2020-06-04,baiju,2,60000,2018,not joined,call not picking,2020,6
16,hidden,nadakkavu,hidden,hidden,social media,ug,mechanical,backpapers,job oriented course,ai,offline,morning,2020-05-23,monish,1,60000,2017,joined,not impressed,2020,5
17,hidden,kovoor,hidden,hidden,reference,ug,civil,no_career_issue,job oriented course,java,hybrid,weekend,2020-05-08,sivaprasad,2,60000,2015,not joined,high fee,2020,5
18,hidden,kozhikode,hidden,hidden,google,ug,other,no_career_issue,job oriented course,mern,offline,afternoon,2020-12-23,baiju,1,60000,2020,not joined,suspected,2020,12
19,hidden,nadakkavu,hidden,hidden,social media,ug,other,no_career_issue,short term course,mern,online,morning,2020-06-21,baiju,5,60000,2016,joined,not impressed,2020,6
20,hidden,kottayam,hidden,hidden,social media,ug,civil,no_career_issue,it internship,data science,offline,weekend,2020-10-19,baiju,1,12500,2015,not joined,not impressed,2020,10
21,hidden,medical college,hidden,hidden,social media,plus 2,commerce,no_career_issue,work experience,java,offline,morning,2020-12-07,baiju,1,60000,2018,not joined,not impressed,2020,12
22,hidden,thrissur,hidden,hidden,social media,ug,civil,no_career_issue,job oriented course,ai,hybrid,morning,2020-02-16,baiju,5,60000,2019,not joined,not impressed,2020,2
23,hidden,nilambur,hidden,hidden,others,diploma,electronics,career gap,job oriented course,data science,offline,evening,2020-02-23,lekha,2,60000,2015,joined,not impressed,2020,2
24,hidden,nadakkavu,hidden,hidden,social media,ug,civil,no_career_issue,work experience,mern,online,morning,2020-12-12,monish,1,35000,2018,not joined,joined other institude,2020,12
25,hidden,kannur,hidden,hidden,others,ug,mechanical,no_career_issue,work experience,others,offline,morning,2020-07-24,sandra,1,60000,2019,not joined,not interested,2020,7
26,hidden,westhill,hidden,hidden,social media,ug,electronics,non it background,others,flutter,offline,morning,2020-09-25,faisal,1,35000,2020,not joined,not okay,2020,9
27,hidden,kozhikode,hidden,hidden,social media,diploma,electronics,career gap,short term course,ai,online,morning,2020-07-15,faisal,6,60000,2016,not joined,not impressed,2020,7
28,hidden,kozhikode,hidden,hidden,social media,others,electronics,backpapers,others,python,offline,weekend,2020-07-11,baiju,2,35000,2019,not joined,call not picking,2020,7
29,hidden,ernakulam,hidden,hidden,reference,ug,commerce,non it background,work experience,python,offline,morning,2020-04-07,baiju,1,60000,2018,not joined,not interested,2020,4
30,hidden,tirur,hidden,hidden,google,sslc,electronics,no_career_issue,it internship,python,offline,morning,2020-10-07,deepak,1,60000,2020,not joined,not impressed,2020,10
31,hidden,kovoor,hidden,hidden,social media,ug,computer science,career gap,it internship,data science,offline,weekend,2020-02-03,baiju,1,60000,2020,not joined,not interested,2020,2
32,hidden,westhill,hidden,hidden,social media,ug,mechanical,no_career_issue,others,web designing,offline,afternoon,2020-05-26,anupama,1,60000,2018,joined,not impressed,2020,5
33,hidden,tanur,hidden,hidden,others,pg,civil,career gap,job oriented course,python,hybrid,afternoon,2020-04-13,baiju,1,60000,2016,not joined,not okay,2020,4
34,hidden,ponnani,hidden,hidden,others,pg,mechanical,no_career_issue,it internship,python,offline,afternoon,2020-07-25,anupama,2,60000,2017,joined,not impressed,2020,7
35,hidden,tirur,hidden,hidden,social media,ug,computer science,no_career_issue,work experience,python,offline,weekend,2020-10-05,sandra,1,35000,2016,not joined,joined other institude,2020,10
36,hidden,nadakkavu,hidden,hidden,others,sslc,other,backpapers,it internship,data science,offline,morning,2020-10-27,sandra,2,60000,2020,not joined,not interested,2020,10
37,hidden,chevayur,hidden,hidden,social media,ug,electronics,career gap,it internship,java,offline,afternoon,2020-07-18,lekha,5,12500,2015,not joined,joined other institude,2020,7
38,hidden,ernakulam,hidden,hidden,social media,ug,commerce,career gap,work experience,python,offline,morning,2020-02-05,baiju,1,60000,2018,not joined,call not picking,2020,2
39,hidden,manjeri,hidden,hidden,social media,pg,mechanical,no_career_issue,others,python,offline,afternoon,2020-06-18,baiju,4,12500,2016,not joined,not impressed,2020,6
40,hidden,wayanad,hidden,hidden,social media,pg,civil,no_career_issue,short term course,java,online,morning,2020-02-15,baiju,1,60000,2016,not joined,not interested,2020,2
41,hidden,kozhikode,hidden,hidden,social media,ug,commerce,backpapers,work experience,mern,offline,morning,2020-06-13,anupama,1,35000,2019,not joined,not interested,2020,6
42,hidden,kozhikode,hidden,hidden,google,ug,civil,career gap,short term course,mern,online,morning,2020-05-07,anupama,2,60000,2015,joined,not impressed,2020,5
43,hidden,chevayur,hidden,hidden,google,ug,commerce,no_career_issue,others,ai,offline,morning,2020-05-05,baiju,2,60000,2020,not joined,high fee,2020,5
44,hidden,kozhikode,hidden,hidden,google,ug,electronics,no_career_issue,job oriented course,data science,hybrid,morning,2020-01-09,deepak,2,60000,2020,not joined,call not picking,2020,1
45,hidden,nadakkavu,hidden,hidden,reference,ug,other,non it background,short term course,mern,offline,morning,2020-07-26,rifna,1,60000,2017,not joined,not okay,2020,7
46,hidden,chevayur,hidden,hidden,social media,ug,mechanical,no_career_issue,others,data science,offline,morning,2020-07-01,baiju,1,60000,2020,not joined,not okay,2020,7
47,hidden,trivandrum,hidden,hidden,social media,ug,commerce,backpapers,short term course,mern,hybrid,evening,2020-02-05,baiju,3,60000,2019,not joined,high fee,2020,2
48,hidden,trivandrum,hidden,hidden,reference,ug,electronics,no_career_issue,job oriented course,mern,hybrid,morning,2020-11-05,baiju,2,35000,2015,not joined,call not picking,2020,11
49,hidden,farook,hidden,hidden,social media,diploma,commerce,no_career_issue,work experience,data science,offline,morning,2020-05-02,lekha,2,60000,2017,not joined,not interested,2020,5
50,hidden,ramanattukara,hidden,hidden,social media,ug,mechanical,non it background,work experience,java,offline,afternoon,2020-09-05,baiju,2,60000,2019,not joined,not impressed,2020,9
51,hidden,kannur,hidden,hidden,google,pg,electronics,non it background,work experience,mern,offline,weekend,2020-05-13,anupama,1,60000,2020,not joined,suspected,2020,5
52,hidden,manjeri,hidden,hidden,social media,pg,electronics,no_career_issue,short term course,java,offline,afternoon,2020-07-18,sandra,1,60000,2015,joined,not impressed,2020,7
53,hidden,palakkad,hidden,hidden,social media,ug,civil,no_career_issue,short term course,python,hybrid,weekend,2020-09-08,anupama,2,35000,2015,not joined,not impressed,2020,9
54,hidden,manjeri,hidden,hidden,social media,ug,mechanical,backpapers,job oriented course,mern,offline,weekend,2020-10-21,anupama,1,60000,2020,not joined,call not picking,2020,10
55,hidden,nadakkavu,hidden,hidden,reference,ug,mechanical,no_career_issue,others,mern,offline,morning,2020-06-24,anupama,4,60000,2015,not joined,not okay,2020,6
56,hidden,kottayam,hidden,hidden,reference,ug,other,no_career_issue,others,mern,hybrid,afternoon,2020-02-23,baiju,2,60000,2020,not joined,not interested,2020,2
57,hidden,kozhikode,hidden,hidden,social media,pg,commerce,no_career_issue,job oriented course,flutter,offline,evening,2020-06-19,deepak,3,60000,2015,not joined,call not picking,2020,6
58,hidden,chaliyam,hidden,hidden,google,ug,civil,no_career_issue,it internship,data science,online,evening,2020-04-27,deepak,2,60000,2020,joined,not impressed,2020,4
59,hidden,kozhikode,hidden,hidden,social media,ug,mechanical,no_career_issue,it internship,python,offline,morning,2020-05-05,anupama,1,60000,2019,not joined,not interested,2020,5
60,hidden,pantheerankavu,hidden,hidden,social media,diploma,other,non it background,it internship,mern,offline,weekend,2020-11-03,sandra,1,60000,2017,not joined,high fee,2020,11
61,hidden,kozhikode,hidden,hidden,social media,ug,civil,no_career_issue,it internship,python,hybrid,morning,2020-04-18,anupama,1,35000,2017,not joined,high fee,2020,4
62,hidden,chaliyam,hidden,hidden,social media,ug,other,non it background,others,python,offline,weekend,2020-03-04,faisal,2,60000,2015,not joined,not impressed,2020,3
63,hidden,kunnamangalam,hidden,hidden,reference,ug,mechanical,no_career_issue,work experience,python,offline,evening,2020-12-26,baiju,3,60000,2017,joined,not impressed,2020,12
